iter	Passed	Remaining
0	4	3702
1	6	2879
2	8	2445
3	9	2212
4	12	2179
5	15	2372
6	18	2302
7	20	2242
8	22	2204
9	24	2216
10	28	2281
11	30	2246
12	32	2247
13	35	2264
14	37	2219
15	40	2249
16	42	2199
17	44	2169
18	46	2148
19	48	2118
20	50	2133
21	53	2116
22	55	2097
23	56	2068
24	58	2035
25	60	2047
26	62	2026
27	64	2001
28	65	1977
29	67	1958
30	69	1957
31	71	1940
32	73	1924
33	74	1906
34	76	1895
35	79	1900
36	80	1883
37	82	1870
38	83	1853
39	85	1842
40	88	1846
41	89	1832
42	91	1817
43	91	1777
44	92	1766
45	95	1775
46	97	1769
47	99	1763
48	101	1756
49	102	1745
50	105	1754
51	107	1747
52	108	1736
53	110	1724
54	111	1717
55	114	1725
56	116	1717
57	117	1709
58	119	1698
59	120	1689
60	121	1674
61	123	1668
62	125	1661
63	126	1653
64	128	1646
65	130	1649
66	131	1640
67	133	1633
68	135	1627
69	136	1622
70	139	1626
71	140	1619
72	142	1611
73	143	1603
74	145	1596
75	147	1599
76	149	1593
77	150	1587
78	152	1580
79	153	1574
80	155	1576
81	157	1570
82	158	1564
83	161	1564
84	162	1558
85	165	1562
86	166	1557
87	167	1546
88	167	1530
89	169	1524
90	171	1526
91	173	1521
92	174	1517
93	176	1513
94	178	1513
95	181	1516
96	182	1510
97	183	1505
98	185	1501
99	187	1496
100	189	1500
101	191	1495
102	192	1490
103	194	1485
104	195	1481
105	197	1482
106	199	1477
107	200	1472
108	202	1468
109	203	1463
110	206	1465
111	207	1460
112	209	1456
113	210	1452
114	212	1447
115	214	1450
116	216	1446
117	217	1442
118	219	1438
119	220	1434
120	223	1435
121	224	1431
122	225	1427
123	227	1423
124	229	1424
125	232	1426
126	233	1421
127	235	1417
128	236	1413
129	237	1409
130	240	1411
131	241	1407
132	243	1403
133	244	1399
134	246	1395
135	248	1396
136	250	1393
137	251	1390
138	253	1386
139	254	1383
140	256	1379
141	257	1376
142	259	1373
143	260	1370
144	262	1366
145	263	1362
146	265	1359
147	266	1355
148	268	1351
149	269	1347
150	271	1348
151	273	1345
152	274	1341
153	276	1338
154	277	1335
155	280	1336
156	281	1332
157	283	1329
158	284	1326
159	286	1324
160	288	1325
161	290	1321
162	291	1319
163	293	1318
164	295	1315
165	297	1316
166	299	1312
167	300	1309
168	302	1306
169	303	1303
170	306	1305
171	307	1302
172	309	1300
173	310	1297
174	312	1294
175	314	1295
176	316	1293
177	318	1290
178	319	1287
179	321	1285
180	324	1287
181	325	1285
182	327	1283
183	329	1281
184	330	1278
185	333	1278
186	334	1275
187	336	1273
188	337	1270
189	339	1267
190	341	1267
191	343	1265
192	344	1262
193	346	1260
194	347	1257
195	350	1259
196	352	1257
197	354	1256
198	356	1254
199	357	1251
200	360	1252
201	361	1250
202	364	1251
203	366	1250
204	368	1250
205	372	1253
206	373	1251
207	375	1249
208	377	1246
209	378	1245
210	381	1246
211	383	1244
212	385	1241
213	386	1239
214	388	1237
215	391	1239
216	392	1236
217	394	1234
218	396	1231
219	397	1229
220	400	1230
221	402	1227
222	403	1225
223	405	1223
224	406	1220
225	408	1218
226	410	1216
227	411	1214
228	413	1212
229	415	1210
230	418	1210
231	419	1208
232	422	1208
233	423	1206
234	425	1204
235	428	1204
236	430	1203
237	431	1201
238	433	1199
239	435	1196
240	437	1196
241	439	1194
242	441	1192
243	442	1190
244	444	1188
245	447	1188
246	448	1186
247	450	1184
248	452	1182
249	453	1180
250	455	1178
251	457	1176
252	459	1174
253	460	1171
254	462	1169
255	464	1169
256	466	1167
257	468	1164
258	469	1162
259	471	1160
260	473	1159
261	475	1157
262	477	1155
263	479	1154
264	480	1151
265	483	1152
266	485	1150
267	486	1148
268	488	1145
269	490	1143
270	492	1143
271	494	1141
272	496	1140
273	498	1139
274	500	1137
275	502	1136
276	504	1135
277	506	1133
278	508	1131
279	510	1129
280	512	1129
281	514	1127
282	516	1126
283	518	1123
284	519	1121
285	522	1121
286	524	1119
287	525	1117
288	527	1115
289	528	1112
290	531	1112
291	533	1109
292	534	1107
293	536	1105
294	537	1103
295	540	1103
296	542	1101
297	544	1099
298	545	1097
299	547	1095
300	550	1094
301	551	1092
302	553	1089
303	554	1087
304	556	1084
305	558	1084
306	560	1082
307	561	1079
308	563	1077
309	564	1074
310	567	1074
311	568	1072
312	570	1069
313	571	1067
314	573	1064
315	575	1064
316	577	1062
317	579	1060
318	580	1058
319	582	1055
320	585	1055
321	586	1053
322	588	1051
323	590	1049
324	591	1046
325	594	1046
326	596	1044
327	597	1042
328	599	1039
329	600	1038
330	604	1038
331	605	1036
332	607	1034
333	609	1032
334	611	1030
335	612	1028
336	614	1026
337	616	1025
338	618	1023
339	619	1021
340	622	1020
341	624	1018
342	625	1016
343	627	1014
344	629	1012
345	632	1013
346	634	1011
347	636	1009
348	638	1007
349	639	1005
350	642	1004
351	644	1002
352	646	1001
353	648	999
354	649	997
355	651	995
356	653	993
357	655	992
358	657	990
359	658	988
360	661	987
361	662	985
362	664	983
363	666	981
364	667	978
365	670	978
366	672	976
367	673	973
368	675	971
369	676	969
370	679	968
371	680	966
372	682	964
373	683	961
374	685	959
375	687	958
376	689	956
377	690	953
378	692	951
379	693	949
380	696	948
381	697	945
382	699	943
383	700	941
384	702	939
385	704	937
386	705	935
387	707	933
388	709	931
389	710	929
390	713	928
391	714	926
392	716	924
393	718	922
394	719	920
395	722	919
396	723	917
397	725	915
398	727	913
399	728	911
400	731	910
401	733	908
402	734	906
403	736	904
404	737	901
405	740	901
406	742	898
407	743	896
408	745	894
409	747	892
410	749	891
411	750	889
412	752	887
413	754	885
414	755	883
415	757	881
416	759	879
417	761	877
418	762	875
419	763	873
420	766	871
421	767	869
422	769	867
423	770	865
424	772	862
425	774	861
426	775	859
427	777	857
428	779	855
429	780	853
430	782	852
431	784	849
432	785	847
433	787	845
434	789	843
435	791	842
436	793	840
437	794	838
438	796	836
439	797	833
440	799	832
441	801	830
442	802	828
443	804	826
444	806	824
445	808	822
446	809	820
447	811	818
448	812	816
449	814	814
450	816	812
451	817	810
452	819	808
453	820	806
454	821	803
455	824	802
456	825	800
457	827	798
458	828	796
459	830	793
460	832	792
461	833	790
462	835	788
463	836	786
464	838	784
465	840	783
466	842	781
467	844	779
468	845	777
469	847	775
470	849	773
471	850	771
472	852	769
473	853	767
474	855	765
475	857	763
476	859	761
477	860	759
478	862	757
479	863	755
480	865	754
481	866	751
482	868	749
483	869	747
484	870	745
485	873	743
486	874	741
487	876	739
488	877	737
489	879	735
490	881	734
491	883	732
492	884	730
493	886	728
494	888	727
495	891	725
496	892	723
497	894	721
498	895	719
499	897	718
500	900	716
501	901	714
502	902	712
503	904	710
504	905	708
505	908	707
506	910	705
507	911	703
508	913	701
509	914	699
510	917	698
511	919	696
512	920	694
513	921	692
514	923	690
515	925	688
516	927	686
517	928	684
518	930	682
519	931	680
520	933	679
521	935	677
522	936	675
523	938	673
524	939	671
525	942	669
526	943	667
527	945	665
528	946	663
529	948	662
530	950	660
531	952	658
532	953	656
533	955	654
534	957	652
535	959	651
536	961	650
537	963	648
538	965	646
539	967	645
540	969	643
541	971	641
542	973	639
543	975	638
544	977	636
545	979	634
546	981	633
547	983	631
548	984	629
549	986	627
550	989	626
551	991	624
552	993	623
553	995	621
554	997	620
555	1000	618
556	1002	617
557	1003	615
558	1005	613
559	1007	611
560	1009	610
561	1011	608
562	1013	606
563	1014	604
564	1016	602
565	1018	601
566	1020	599
567	1022	597
568	1023	595
569	1025	593
570	1027	592
571	1029	590
572	1031	588
573	1032	586
574	1034	584
575	1037	583
576	1039	581
577	1040	579
578	1042	577
579	1044	576
580	1047	574
581	1048	572
582	1050	570
583	1051	568
584	1052	566
585	1055	565
586	1056	563
587	1058	561
588	1059	559
589	1061	557
590	1063	556
591	1064	554
592	1066	552
593	1068	550
594	1069	548
595	1072	546
596	1073	544
597	1075	542
598	1076	541
599	1077	538
600	1080	537
601	1081	535
602	1083	533
603	1084	531
604	1086	529
605	1088	528
606	1090	526
607	1091	524
608	1093	522
609	1095	520
610	1097	519
611	1098	517
612	1100	515
613	1101	513
614	1103	511
615	1106	510
616	1107	508
617	1109	506
618	1110	504
619	1113	502
620	1115	501
621	1117	499
622	1118	497
623	1120	495
624	1121	493
625	1123	491
626	1125	489
627	1126	488
628	1128	486
629	1129	484
630	1132	482
631	1133	480
632	1134	478
633	1136	476
634	1138	475
635	1140	473
636	1142	471
637	1143	469
638	1144	467
639	1146	465
640	1148	463
641	1149	461
642	1151	460
643	1153	458
644	1154	456
645	1156	454
646	1158	453
647	1160	451
648	1161	449
649	1163	447
650	1165	445
651	1167	443
652	1169	442
653	1170	440
654	1172	438
655	1174	436
656	1176	434
657	1177	433
658	1179	431
659	1181	429
660	1183	427
661	1185	426
662	1186	424
663	1187	422
664	1189	420
665	1191	418
666	1193	416
667	1194	414
668	1196	413
669	1197	411
670	1199	409
671	1201	407
672	1203	405
673	1204	403
674	1205	401
675	1208	400
676	1209	398
677	1211	396
678	1212	394
679	1214	392
680	1215	390
681	1217	389
682	1218	387
683	1220	385
684	1221	383
685	1223	381
686	1225	380
687	1227	378
688	1228	376
689	1230	374
690	1232	372
691	1234	370
692	1235	369
693	1237	367
694	1238	365
695	1241	363
696	1243	362
697	1244	360
698	1246	358
699	1247	356
700	1250	354
701	1250	352
702	1252	350
703	1253	349
704	1255	347
705	1257	345
706	1259	343
707	1260	341
708	1262	340
709	1264	338
710	1266	336
711	1267	334
712	1269	332
713	1270	330
714	1271	329
715	1274	327
716	1275	325
717	1277	323
718	1278	321
719	1280	320
720	1283	318
721	1285	316
722	1287	315
723	1288	313
724	1291	311
725	1293	310
726	1294	308
727	1296	306
728	1297	304
729	1298	302
730	1301	300
731	1302	299
732	1303	297
733	1305	295
734	1306	293
735	1309	291
736	1310	289
737	1312	288
738	1313	286
739	1315	284
740	1317	282
741	1319	280
742	1320	279
743	1322	277
744	1324	275
745	1326	273
746	1328	272
747	1329	270
748	1331	268
749	1333	266
750	1334	264
751	1336	262
752	1337	261
753	1339	259
754	1340	257
755	1342	255
756	1343	253
757	1345	252
758	1346	250
759	1348	248
760	1350	246
761	1351	244
762	1353	242
763	1354	241
764	1356	239
765	1358	237
766	1360	235
767	1361	234
768	1363	232
769	1364	230
770	1366	228
771	1368	226
772	1369	225
773	1371	223
774	1372	221
775	1375	219
776	1376	217
777	1378	216
778	1379	214
779	1381	212
780	1383	210
781	1384	208
782	1386	207
783	1388	205
784	1389	203
785	1392	201
786	1393	200
787	1395	198
788	1396	196
789	1398	194
790	1400	192
791	1401	191
792	1402	189
793	1404	187
794	1406	185
795	1409	184
796	1410	182
797	1412	180
798	1413	178
799	1415	176
800	1417	175
801	1419	173
802	1420	171
803	1422	169
804	1423	167
805	1425	166
806	1427	164
807	1428	162
808	1430	160
809	1431	159
810	1433	157
811	1435	155
812	1436	153
813	1438	151
814	1439	150
815	1442	148
816	1443	146
817	1445	144
818	1446	143
819	1448	141
820	1450	139
821	1452	137
822	1453	136
823	1455	134
824	1456	132
825	1458	130
826	1459	128
827	1461	127
828	1462	125
829	1464	123
830	1466	121
831	1467	119
832	1469	118
833	1470	116
834	1472	114
835	1474	112
836	1476	111
837	1477	109
838	1479	107
839	1480	105
840	1483	104
841	1485	102
842	1486	100
843	1488	98
844	1489	96
845	1491	95
846	1492	93
847	1494	91
848	1495	89
849	1496	88
850	1499	86
851	1500	84
852	1502	82
853	1503	81
854	1505	79
855	1507	77
856	1509	75
857	1510	73
858	1512	72
859	1513	70
860	1516	68
861	1517	66
862	1519	65
863	1520	63
864	1522	61
865	1525	59
866	1526	58
867	1528	56
868	1529	54
869	1531	52
870	1533	51
871	1535	49
872	1537	47
873	1539	45
874	1541	44
875	1543	42
876	1544	40
877	1546	38
878	1547	36
879	1549	35
880	1550	33
881	1552	31
882	1553	29
883	1555	28
884	1556	26
885	1559	24
886	1560	22
887	1562	21
888	1563	19
889	1565	17
890	1567	15
891	1569	14
892	1570	12
893	1572	10
894	1573	8
895	1575	7
896	1577	5
897	1579	3
898	1580	1
899	1581	0
